ID,Sex,GPA,ReligImp,MissClass,Seat
383,Male,3.2,Fairly,3,Front
384,Male,3.28,Not,0,Middle
385,Male,2.5,Fairly,3,Back
386,Male,3.11,Not,0,Front
387,Male,3.15,Fairly,2,Back
388,Male,3.44,Fairly,0,Middle
389,Male,3.03,Not,0,Middle
390,Male,3.2,Very,2,Middle
391,Male,3.35,Fairly,0,Middle
392,Male,3.75,Not,0,Front
393,Male,2.68,Fairly,1,Middle
394,Male,3.16,Very,2,Front
395,Male,2.47,Fairly,2,Front
396,Male,3.93,Very,0,Front
397,Male,3.08,Not,2,Back
398,Male,2.82,Very,0,Back
399,Male,3.48,Not,0,Middle
400,Male,3.29,Not,0,Middle
401,Male,2.8,Fairly,4,Back
402,Male,3.67,Fairly,0,Middle
403,Male,3.3,Fairly,1,Middle
404,Male,2.6,Fairly,0,Front
405,Male,3.59,Fairly,0,Middle
406,Male,2.1,Fairly,2,Front
407,Male,2.4,Very,1,Middle
408,Male,2.98,Fairly,2,Back
409,Male,3.54,Fairly,0,Middle
410,Male,3.3,Fairly,0,Front
411,Male,3.18,Not,1,Back
412,Male,3.37,Fairly,1,Middle
413,Male,2.8,Fairly,1,Middle
414,Male,2.72,Not,0,Front
415,Male,2.34,Fairly,2,Back
416,Male,3.3,Fairly,1,Middle
417,Male,1.91,Very,2,Back
418,Male,3.03,Fairly,0,Middle
419,Male,3.37,Fairly,0,Middle
420,Male,3.01,Not,1,Back
421,Male,2.6,Fairly,0,Back
422,Male,1.57,Very,0,Middle
423,Male,3.22,Fairly,1,Back
424,Male,3.45,Fairly,1,Back
425,Male,2.71,Very,0,Middle
426,Male,2.25,Not,3,Back
427,Male,1.93,Fairly,4,Middle
428,Male,3.89,Not,0,Middle
429,Male,2.57,Fairly,0,Middle
430,Male,3,Not,0,Back
431,Male,3.6,Fairly,0,Middle
432,Male,2.95,Very,1,Front
433,Male,3.83,Fairly,0,Front
434,Male,3.88,Fairly,0,Middle
435,Male,2,Not,3,Back
436,Male,2.27,Not,5,Middle
437,Male,2.87,Fairly,1,Middle
438,Male,2.5,Fairly,0,Front
439,Male,3.54,Fairly,0,Back
440,Male,3.18,Fairly,2,Back
441,Male,2.87,Very,1,Front
442,Male,3.3,Not,0,Middle
443,Male,1.96,Fairly,2,Back
444,Male,3.01,Very,4,Middle
445,Male,3.26,Not,0,Middle
446,Male,3.21,Fairly,1,Back
447,Male,3.54,Not,0,Middle
448,Male,3.42,Fairly,0,Middle
449,Male,2.6,Not,1,Back
450,Male,3.54,Not,0,Middle
451,Male,3.7,Not,0,Middle
452,Male,3.2,Fairly,0,Middle
453,Male,2.88,Not,0,Middle
454,Male,3.39,Not,1,Middle
455,Male,2.99,Fairly,3,Middle
456,Male,3.07,Fairly,0,Middle
457,Male,2.79,Fairly,1,Front
458,Male,3.2,Very,1,Middle
459,Male,2.8,Not,1,Middle
460,Male,3.41,Very,0,Back
461,Male,1.74,Not,0,Front
462,Male,3.4,Not,0,Middle
463,Male,2.18,Fairly,1,Front
464,Male,2.9,Not,1,Middle
465,Male,3.15,Very,0,Front
466,Male,2.54,Fairly,2,Back
467,Male,3.3,Not,0,Front
468,Male,3.59,Not,0,Middle
469,Male,2.8,Not,2,Middle
470,Male,2.87,Fairly,0,Middle
471,Male,2.94,Very,0,Middle
472,Male,2.5,Not,4,Back
473,Male,3,Fairly,0,Back
474,Male,3.83,Not,2,Front
475,Male,3.58,Very,2,Back
476,Male,3.53,Fairly,2,Middle
477,Male,3.89,Not,2,Back
478,Male,2.2,Fairly,2,Front
479,Male,2.78,Fairly,1,Middle
480,Male,3,Fairly,1,Middle
481,Male,3.18,Not,1,Back
482,Male,3.07,Fairly,0,Middle
483,Male,3.18,Not,3,Back
484,Male,3.25,Not,0,Middle
485,Male,2.5,Not,1,Middle
486,Male,2.27,Not,4,Back
487,Male,3.42,Fairly,2,Middle
488,Male,3.2,Fairly,0,Front
489,Male,3.08,Not,3,Back
490,Male,3.7,Fairly,0,Back
491,Male,3.2,Fairly,1,Middle
492,Male,2.08,Not,2,Middle
493,Male,3,Fairly,1,Middle
494,Male,2.84,Fairly,0,Back
495,Male,3.33,Not,2,Middle
496,Male,3.95,Not,5,Back
497,Male,2.9,Fairly,1,Middle
498,Male,3,Fairly,1,Middle
499,Male,2.17,Not,2,Middle
500,Male,3.35,Fairly,0,Front
501,Male,2.8,Fairly,0,Front
502,Male,3.21,Very,0,Middle
503,Male,3.65,Fairly,1,Back
504,Male,3,Not,3,Back
505,Male,2.13,Very,0,Middle
506,Male,4,Not,0,Middle
